SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
612,BCom (Banking and Insurance),Strategic Management,UGBBIS03,Regionl,"Students will be able to apply the proper processes, frameworks, models, and experiences to learn, solve issues, and make suitable judgments based on multiple informational
sources, such as facts, creative thinking"
613,BCom (Banking and Insurance),Financial Service Management,UGBBI504,National,Understanding of Banking and Financial Services sector and employability
614,BCom (Banking and Insurance),"International Banking &
Finance",UGBBIS0S,Global,Demonstrate comprehensive knowledge and understanding the way in which international finance system operates
615,"BCom (Banking
and  Insurance)",Research Methodology,UGBBIS06,Regionl,"Gain proficiency in the analysis and presentation of
!qualitative and Quantitative data."
616,BCom (Banking and Insurance),Security Analysis and Portfolio Management,UGBBI601,Local,"Students will understand growth and Development of Securities Market, risk-return concept and obtain various Analytical Skills"
617,BCom (Banking and Insurance),Auditing-II,UGBBI602,National,Employability and Entrepreneurship
618,"BCom (Banking
and Insurance)","Human Resource
Mana2:ement",UGBBI603,Global,Preparing students ready for employment and etrepreneurshio
619,BCom (Banking and Insurance),Turnaround Management,UGBBI604,Region!,New Leadership. Stakeholder Management Strategic Focus.. Financial Restructurine.
620,"BCom (Banking
and Insurance)",Central Banking,UGBBI605,National,Understanding monetary policy and role of central bank in India as well as Foreim Countries
621,"BCom (Banking
and Insurance)","Project Work in Banking
& Insurance",UGBBI606,Local,"Critical Thinking Skills, planning, time and change
management skills, Analytical Skills"
622,MSc [Mathematics),ALGEBRA-I -CC,PGMT101-CC,Global,Understand the algebraic structure through algorithm
623,MSc (Mathematics),ANALYSIS-I--CC,PGMT102-CC,National,"Apply Riemann integrable functions in areas such as signal processing, control systems, and image analysis."
624,MSc (Mathematics),COMPLEX ANALYSIS-CC,PGMT103-CC,Global,Find the  convergence of the series with the help of signularites
625,MSc (Mathematics),DISCRETE MATHEMATICS- DSE,PGMT104-A,Local,"Develop a deeper understanding of counting principles, such
as  permutations and combinations, and apply them to solve various problems."
626,MSc (Mathematics),INTRODUCTION TO R PROGRAMMING- SEC,PGMT105-SEC,Regional,"Analyze large datasets, extract insights, and create
informative visualizations, which are essential for informed decision-making"
627,"MSc
[Mathematics)",ALGEBRA II,PGMT201,Global,Study abstract structures and their properties.
628,MSc [Mathematics),TOPOLOGY,PGMT202,Global,Apply topological concepts to optimize transportation systems
629,MSc (Mathematics),RESEARCH METHODOLOGY,PGMT203,National,Development of cutting-edge technologies that benefit global industries and societies.
630,"MSc
(Mathematics)","DIFFERENTIAL
EQUATIONS",PGMT204,Global,Understand the behavior of natural systems and develop new technologies based on scientific principles
631,MSc (Mathematics),INTRODUCTION TO R- PROGRAMMING-II,PGMT205,Regional,"Analyze large datasets, extract insights, and create informative visualizations, which are essential for informed decision-makine:"
633,"MSc
1(Mathematics)",ANALYSIS II,PGMT302,Global,"Understanding outer measure is essential for the
development of measure theory"
634,MSc (Mathematics),Differential geometry,PGMT303,National,"Analyze complex surfaces, shapes, and trajectories."
635,MSc (Mathematics),NUMERICAL METHODS,PGMT304A,"Global
--   -",Use computational techniques to complex mathematical problems for gettine: annroximate solutions
636,"MSc
(Mathematics)",INTEGRAL TRANSFORMS,PGMT30SA,National,Simplify complex mathematical problems by converting them into more manageable forms
637,"MSc
[Mathematics)",FIELD THEORY,PGMT401,Global,"Design and analysis of control systems and communication
networks."
638,MSc (Mathematics),FUNCTIONAL ANALYSIS,PGMT402,Global,"Design and  analysis of control systems, signal processing algorithms, and numerical simulations"
639,MSc (Mathematics),PARTIAL DIFFERENTIAL EQUATIONS,PGMT403,National,Predict and understand the behaviour of system in various fields
640,MSc (Mathematics),FOURIER ANALYSIS,PGMT404A,National,Simplify complex mathematical problems by converting them into more manageable forms
641,MSc (Mathematics),PROJECT DISSERTATION,PGMT405,National,"Contribution to the advancement of knowledge and
addressing real-world challenges"
642,MSc (Mathematics),INTERNSHIP,PGMT406,Regional,"Opportunities to work on real-world projects and gain
practical experience"
643,MSc (Organic Chemistry),Physical Chemistry,PGCH101,Local,"Understanding basics of Quantum Chemistry, Chemical Dynamics"
644,MSc (Organic Chemistry),Inorganic Chemistry,PGCH102,National,"Introduction to Inorganic reaction Mechanism,Molecular
symmetry and Group Theory"
645,MSc (Organic Chemistry),Organic Chemistry,PGCH103,Global,Applications of Physical organic chemistry
646,MSc (Organic Chemistry),Analytical Chemistry,PGCHDSE104,National,Applications of Physical organic chemistry
647,MSc (Organic Chemistry),GLP and Safety Measurement,PGCHSEC105,National,Applications of first aid measures to be undertaken in laboratories
648,MSc (Organic Chemistry),Physical Chemistry,PGCH201,Local,"Understanding applications of Quantum Chemistry, Chemical Dynamics"
649,"MSc (Organic
Chemistry)",Organic Chemistry,PGCH202,Local,Understanding applications of NMR and Mass Spectoscopy
650,MSc (Organic Chemistry),Research Methodology,PGCH203,Global,"Fundamentals of Research Methodology,Data collection,"
651,MSc (Organic Chemistry),Industrial Inorganic Chemistry,PGCHDSE204,Local,Understanding process of manufacture and applications of Inorganic Compounds
652,MSc (Organic Chemistry),Phytochemistry,PGCHDSE205,Regional,Methods of preparations of herbal drugs
653,MSc (Organic Chemistry),Organic Chemistry,PGCH202,Local,Understanding applications ofNMR and Mass Spectoscopy
654,MSc (Organic Chemistry),Theoretical Organic Chemistry I,PGCHO301,Local,Applications of photochemical reactions in environment and industry
655,MSc (Organic Chemistry),Methods in Organic Synthesis I,PGCHO302,Regional,Applications of organometallic chemistry to industrial synthesis
656,MSc (Organic Chemistry),Industrial Internship,PGCHO303,Global,Exposure to chemistry students to industrial processes
657,MSc (Organic Chemistry),"Medicinal, Biogenesis and Spectroscoov",PGCHO304A,Global,Synthesis routes to new drugs in the laboratory
658,MSc (Organic Chemistry),"Natural Products and
Green Chemistry",PGCHO304 B,Global,Application of green approach to synthesis methods
659,MSc (Organic Chemistry),Industrial Pharmacy,PGCHO305 A,National,Application of green approach to synthesis methods
660,"MSc (Organic
Chemistry)",Basics in Nanotechnology,PGCHO305 B,Regional,"Application of green approach to synthesis of nanomaterials
and their usage in synthetic field"
661,MSc (Organic Chemistry),Theoretical Organic Chemistry II,PGCHO401,Local,Application of new synthetic methods in organic chemistry
662,"MSc (Organic
Chemistry)",Methods in Organic Synthesis II,PGCHO402,Global,Application and usage of rare earth metals in organic synthesis
663,"MSc (Organic
Chemistry)",Research Project,PGCHO403,Local,Students get vivid approach to green synthetic methods
664,MSc (Organic Chemistry),Natural Products and Heterocvclic Chemistry,PGCHODSE404 A,Local,Students are exposed to reaction mechanisms which are Carried out bv natural chemicals
665,MSc (Organic Chemistry),Regulatory affairs in Pharmaceutical Industry,PGCHODSE404 B,Regional,Introduction to rules and regulations before introducing a drug into market
666,"MSc (Organic
Chemistry)","Quality Management
Systems and Audit",PGCHOSEC405 A,Global,Basics of audit system in pharmaceutical
667,MSc (Organic Chemistry),"Intellectual Property
Rights and Cheminformatics",PGCHOSEC405  B,Global,Students are introduced to different International agreements
682,MSc ( Analytical Chemistry),waste Management and Material Analysis,PGCHADSE404A,Regional,Learning environment friendly techniques
683,MSc ( Analytical Chemistry),"Regulatory affairs in
Pharmaceutical Industry",PGCHADSEC404 8,Global,Rules and regulations to pharmaceutical drugs
684,"MSc ( Analytical
Chemistry)","Quality Management
Systems and Audit",PGCHASEC40SA,Global,Maintaining Analytical lab to international standards
685,MSc ( Analytical Chemistry),"Intellectual property
rights and
Cheminformatics",PGCHASEC4058,National,Patent publications and related data
686,"MSc ( Analytical
Chemistry)","Analytical chemistry
practical",PGCHAP401,Regional,Analysis of chemicals using instruments
687,"MSc ( Analytical
Chemistry)","Analytical chemistry
practical",PGCHAP402,Global,Analysis of unknown drugs for its contents
688,"MSc ( Analytical
Chemistry)",Project Evaluation,PGCHAP403,Local,Understanding the Green synthesis methods
689,"MSc ( Analytical
Chemistry)","Analytical chemistry
practical",PGCHADSE 404  A,Regional,Analysis of different chemicals
690,"MSc ( Analytical
Chemistry)","Analytical chemistry
practical",PGCHADSE 404  8,National,Analysis of alcoholic beverages
691,MSc (Microbiology),Cell Biology,PGMB101- CC,National and Global,Students will learn various cellular process and techniques involved in cell biology relevant from local to global level
692,MSc (Microbiology),Molecular Genetics I,PGMB102-CC,National,"Students will learn various molecular biology tools and techniques and will extrapolate these knowledge to
understand genotypes of population over a particular area at specific time."
693,MSc (Microbiology1,Basic Biochemistry,PGMB103- CC,National,Students will learn the basic of various biomolecules and understand enzvmolouv and their aoolication
694,MSc (Microbiology),Fermentation Technology,PGMB104-DSEC- 1,National and Global,"Students will learn scope of industrial microbiology and biotechnology from local to global level. Learners will also learn biosynthesis of biological products, biosafety and indutrial waste that are relevant from local to global level"
695,MSc (Microbiology),Food&Dairy Microbiology,PGMB104- DSEC- 2,National,Students will learn various aspects of microbiology involved in Food and  Dairy industries and their processing.
696,MSc (Microbiology),Food Licensing and Certification,PGMB105- SEC,National and Global,"Students will understand the fundamentals of food laws,
standards, food safety and quality management systems. This is relevant from local to global level."
697,MSc (Microbiology),Microbiology Practicum,PGMBP-101,National,Students will perform all techniques as part of the theoretical knowledge gained related to all major fields of microbiology.
698,MSc l(Microbiology1,Research Methodology,PGMB201-CC,National,Students will learn about fundamental related to research methodology and IPR
699,MSc (Microbiology),Molecular Genetics II,PGMB202-CC,National and Global,"Students will learn genetic basis of cancer, transposable elements and developmental genetics. Further learners will gain latest know-how of working of CRlSPR technology and fundamentals of epigenetics. This is relevant from local to
2lobal level."
700,MSc (Microbiolol?V),Microbial Biochemistry,PGMB203-CC,National,Students will understand metabolism of biomolecules and functioning of all cells
701,MSc (Microbiology),Advances in Biotechnolol?V,PGMB204- DSEC- 1,Local and Rel!ional,The students will learn on various aspects ofbiotechnolgy and aoolications of these in industries
702,MSc (Microbiology),Pharmaceutical Microbiology,PGMB204- DSEC- 2,Global,"Students will learn fundamentals of Quality assurance and control in pharmaceuticals and cosmetic industries. This is
relevant from local to e:lobal level"
703,MSc (Microbiology),Quality Assurance and Quality Control in Pharmaceutical Industries,PGMB205-SEC,National,Students will understand the fundamentals of quality management systems and role of audits and regulatory compliances to increase the quality of product
704,MSc (Microbiology),Microbology Practicum,PGMBP-201,National,Students will perform all the techniques of major subjects in microbiology
705,MSc (Microbiology),Virology,PGMB301-CC,National,"Students will understand the characterstics of different
microbial, animal and plant viruses and will be able to classify them."
706,MSc (Microbiology),Immunology & Immunodiagnostic,PGMB302-CC,Global,Learners will be able to undertand the fundamentals of functioning of immune system in normal and cancerous conditions. This is relevant from local to global level
707,MSc (Microbiology),"INTRODUCTION TO OMICSAND ANALYTICAL
TECHNIQUES",PGMB301-DSEC- 1,National,"Students will learn various advance hypenated analytical techniques and their applications in understanding genomics, proteomics, transcriptomics, metabolomics and
oharmacogenomics"
708,MSc (Microbiology),Soil and Agricultural Microbiology,PGMB301-DSEC- 2,Global,"Students will learn fundamentals of soil and agriculture
microbiological techniques which is relevant from local to e:lobal level"
709,"MSc
(Microbiology)",Biostatistics,PGMBSEC301,National,Students will understand fundamentals of biostatistics and will be able to apply this into their research work.
710,MSc (Microbiology),Microbiology Practicum,PGMBP301,National,Students will perform all the techniques that are covered in theoritical part of the syllabus and are still relevant
711,MSc (Microbiology),Medical & Clinical Microbiology,PGMB401-CC,Global,Students will learn various emerging diseases and clinical research that shape the outcomes of pharmaceutical research work This is relevant from local to global
712,MSc (Microbiology),Environmental Microbiology,PGMB402-CC,National,"Students will learn the fundamentals of ecology and various methods for remediation of different types of wastes. This is
relevant from local to global level."
713,MSc (Microbiology),Waste Management,PGMB401-DSEC- 1,National,"Students will understand the concepts and techniques related
to different types of waste and its managment from local level to J?lobal level"
714,MSc (Microbiology),Bioinformatics,PGMB401-SEC,Global,Students will learn about array of softwares that are currently used in the research globally
715,MSc (Microbiology),Microbiology Practicum,PGMBP401,National,Students will perform all the techniques that are covered in theoritical part of the syllabus and are still relevant
716,MSc (Physics),Mathematical Methods in Physics,PGPH101,National,Understand the Series Solutions of Differential Equations.
717,MSc (Physics),Classical Mechanics,PGPH102,National,"the Classical Mechanics syllabus equips individuals, engineers, scientists, and researchers with the foundational knowledge and problem-solvingskills."
718,MSc (Physics),Quantum Mechanics,PGPH103,National,Analyze the Scattering theory
719,MSc (Physics),Advance Electronics,PGPH104,National,Advanced Electronics skills are vital for designing control systems and automation used in manufacturing and industrial processes.
720,MSc (Physics),Solid state devices,PGPHZ0S,National,"Solid state devices equips with specialized knowledge and skills crucial for addressing national and global needs in various technological, industrial, and scientific domains."
721,MSc (Physics),Experimental Physics,PGPH204,Local and Relrtonal,Studnets learn hands-on skills of experiments.
722,MA (Business Economics),Micro Economics Analysis,PGBECO101,National,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
723,MA (Business Economics),Micro Economics Analysis,PGBECO201,National,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
724,MA (Business Economics),Macro Economic Analysis,PGBECO102,National,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
725,MA (Business Economics),Macro Economic Analysis,PGBECO202,National,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
726,MA (Business Economics),"Research Methodology and Statistical Tools for
Data Analysis",PGBECO103,National,Research Problem and Research Design Data Collection
727,MA (Business Economics),Research Methodology and Statistical Tools for Data Analysis,PGBECO203,National,Research Problem and Research Design Data Collection
728,MA (Business Economics),Agriculture Economics,PGBECO104A,National,Students understand the Sustainable agricultural development
729,MA (Business Economics),Agriculture Economics,PGBECO204A,National,"Agricultural Pricing Comparative Agriculture, Agricultural Inputs, Agro -  Industries in India."
730,MA (Business Economics),"Entrepreneurship Development and Project
Management",PGBECO105,National,Entrepreneurship in India Supporting agencies for Entrepreneurship Development
731,MA (Business Economics),"Entrepreneurship
Development and Project Manaeement",PGBECO205,National,Project Planning
732,"MA (Business
Economicsl",Economics of Growth and Development,PGBECO301,National and Global,Understanding policy formulation for economic growth and developement
733,"MA (Business
Economics)",Economics of Growth and Development,PGBECO401,National and Global,Understanding policy formulation for economic growth and developement
734,"MA (Business
Economics)","International Trade and
Finance",PGBECO302,National and Global,Understanding International policy formulation for economic growth and develoPement
735,"MA (Business
Economicsl",International Trade and Finance,PGBECO402,National and Global,Understanding International policy formulation for economic growth and developement
736,MA (Business Economics),Public Economics,PGBECO 303,National and Global,"Public economics teaches about public policies that impact public spending, taxation, regulation, and subsidies-all of which are crucial for determining the structure of the economy."
737,MA (Business Economics),Public Economics,PGBECO 403,National and Global,"Public economics teaches about public policies that impact public spending, taxation, regulation, and subsidies-all of which are crucial for determining the structure of the economy."
738,"MA (Business
Economics)",Dissertation,PGBECO304,National,Research problem and research design data collection
739,"MA (Business
Economics)",Internship,PGBECO404,National,Students will be familiar with industry.
740,MA (Business Economics),Research Methodology and Statistical Tools for Data Analysis,PGBECO305,National,Research problem and research design data collection.
741,MA (Business Economics),"Research Methodology
and Statistical Tools for Data Analysis",PGBECO405,National,Research problem and research design data collection.
742,MA (Business Economics),Mathematics for Business Economics,PGBECO305,National and Global,"Understanding mathematical concepts supports statistical analysis, data interpretation, and econometric modeling crucial for economic research and policy formulation."
743,MA (Business Economics),Foreign exchange market,PGBECO405,National and Global,"Understand the foreign exchange market exchange rate
mechanism, foreign exchange transactions and risk management"
744,"MA (Business
Economics)",Indian Economy,UGECO302,National,"Analyze economic development, labor force planning and Sources of demo2raohic data in India."
745,"MA (Business
Economics)",Indian Economy,UGECO402,National,"Analyze economic development, labor force planning and Sources of demo2raohic data in India."
746,"MA (Business
Economics)",Demography,UGECO303,National and Global,Understand population analysis and projections.
747,"MA (Business
Economics)",Demography,UGECO403,"National and
Global",Understand population analysis and projections.
748,MSc (Computer Science),Analysis of Algorithms,PGCS101,Global,"Understanding and optimizing algorithms contribute to efficiency, innovation, and informed decision-making at different levels of scale,understandingand analyzing
algorithms."
749,MSc (Computer Science),Practicals on Analysis of Algorithms,PGCSP101,Local,"National security agencies employ algorithm analysis to develop robust encryption algorithms, optimize data processing for intelligence purposes, and enhance
1cybersecurity."
750,MSc (Computer Science),"Advanced Networking
Concepts",PGCS102,Regional,"Advanced networking concepts are crucial at various levels to
support the growing demands for connectivity, security, and efficiency."
751,MSc (Computer Science),Practicals on Advanced Networking Concepts,PGCSP102,National,"From local enterprise networks to global internet infrastructure, these concepts play a vital role in shaping the future of communication and collaboration."
752,MSc (Computer Science),"Advanced Database
Systems",PGCS103,Global,"Advanced database systems are essential at various levels to manage, analyze, and derive value from vast amounts of data."
753,MSc (Computer Science),Practicals on Advanced Database Systems,PGCSP103,Local,"Whether at the local level for small businesses or on a global scale for multinational corporations, these systems play a crucial role in supporting diverse applications and industries."
754,MSc (Computer Science),Advanced Python Programming,PGCS104,Regional,"Advanced Python programming skills are valuable at various levels, enabling individuals and organizations to develop
solutions, streamline processes, and contribute to innovation in a wide range of domains."
755,MSc (Computer Science),Practicals on Advanced Python Programming,PGCSP104,Local,"Locally, small businesses and startups benefit from advanced Python programming for developing web applications, managing databases, and automating business processes."
756,MSc (Computer Science),Practical on project,PGCSP403,Regional,"This could include skills in construction, environmental
monitoring, community organizing, or other practical skills that contribute to the local workforce."
757,MSc (Computer Science),GoLang,PGCS404,Local,"Go is an open-source programming language developed at Google in 2007 by Robert Griesemer, Rob Pike, and Ken
Thomoson."
758,MSc (Computer Science),Practical on GoLang,PGCSP404,National,The need for Go arose from the limitations and complexities of existing programming languages for certain types of nroiects
759,MSc (Computer Science),Cyber and  Information Security- II (Cryptography and Crypt Analysis),PGCS40SA,Global,"It ensures the confidentiality, integrity, and authenticity of information by converting it into an unreadable format using encryption techniques, making it difficult for intruders to decipher without the proper decryption key."
760,MSc (Computer Science),"Practical on Cyber and Information
Security- II
(Cryptography and Crypt Analysis)",PGCSP40SA,Regional,"The need for cryptography arises due to the growing dependence on digital technology and the increase in cyber threats. Cyber attackers continually attempt to gain unauthorized access to sensitive information, steal identities,
commit fraud, or disrupt critical systems."
761,MSc (Computer Science),Machine Learning-III (Computational Intelligence),PGCS4058,Local,"Machine learning is a branch of artificial intelligence that uses statistical techniques to enable computer systems to learn and improve from experience without being explicitly
orogrammed."
762,MSc (Computer Science),"Practical on Machine Learning -III (Computational
Intelligence)",PGCSP4058,National,"The need for machine learning arises from the exponential growth of data in various domains such as finance, healthcare, e-commerce, social media, and more."
763,MA (Psychology),Educational Psychology,PGPSY 204-8,"Local, Regional, National and Global",Learners who are Exceptiponal
764,MA (Psychology),Practicals in Psychology,PGPSY205,National,Test Development
765,MA (Psychology),Asseszsment in Clinical Psycholol!V,PGPSY301,National,Assessment of Personality
766,MA (Psychology),Psychopathology,PGPSY302,National,Anxiety and Stress related disorder
767,MA (Psychology),Psychotherapy,PGPSY303,National,Psychoanalytical and Neo Freudian Theories
768,MA (Psychology),Multiculturalism,PGPSY304,National,Discrimination and Prejuduce
769,MA (Geography),Principles of Geomorphology,PGGEO101,"Local, Regional, National and Global","These topics delve into external geological processes and the distribution of solar energy, influencing climate and landforms.Knowledge of air  masses and fronts is essential for predicting weather patterns, especially in tourist destinations. This information is crucial for ensuring visitor safety and planning outdoor activities. It also helps in developing strategies to manage the impact of extreme
weather events on tourism."
770,MA (Geography),Principals of Climatology,PGGEO102,"Local, Regional, National and Global","These topics delve into external geological processes and the distribution of solar energy, influencing climate and landforms.Knowledge of air masses and fronts is essential for predicting weather patterns, especially in tourist destinations. This information is crucial for ensuring visitor safety and planning outdoor activities. It also helps in developing strategies to manage the impact of extreme
weather events on tourism."
771,MA (Geography),Tools And Techniques of Spatial Analysis- I,PGGEO103,National and Global,"Understanding soil composition is vital for agricultural, environmental, and land use planning. Techniques of soil analysis involve the examination of soil properties, fertility, and classification. This knowledge is essential for sustainable land management and resource utilization."
772,MA (Geography),Research Methodology-I,PGGEO104A,National,"Research report writing is a fundamental skill in geography. It includes crafting clear and concise reports that communicate research objectives, methodologies,findings, and
recommendations."
773,MA (Geography),Introduction to Geographic Information System and Global Positioning System,PGGEO105,Global,Learning practical applications of geographical software is essential for modern geographic analysis. Understanding the growth of industrial geography is crucial for economic and spatial planning
774,MA (Geography),Geography of Tribes with Special reference to India,PGGEO304A,"Local, Regional, National and Global","Understanding tribal communities and their spatial distribution is essential for cultural geography and policy developmentThis topic addresses the socio-economic challenges faced by tribal populations, exploring development programs aimed at their upliftrnent"
775,MA (Geography),Geoinformatics,PGGEO305,National,"These topics focus on advanced tools for geographic analysis and planning, aiding in resource management and urban
development"
776,MA (Geography),"Application of Remote
Sensing Techniques in Geographical Studies",PGGEO401,National,"These topics focus on advanced tools for geographic analysis
and planning, aiding in resource management and urban development"
777,MA (Geography),Geography of Hazards and Disaster Management,PGGEO402,Local and regional,"Case studies and the application of Geographic Information System (GIS) and Remote Sensing (RS) in tourism planning provide valuable insights for students in effective decision- making. These tools facilitate spatial analysis, helping to optimize resource utilization, assess environmental impact, and enhance overall tourism management"
778,MA (Geography),Dissertation,PGGEO403,Local and national,"Case studies and the application of Geographic Information System (GIS) and Remote Sensing (RS) in tourism planning provide valuable insights for students in effective decision- making. These tools facilitate spatial analysis, helping to optimize resource utilization, assess environmental impact, and enhance overall tourism management"
779,MA (Geography),Geography of Water Resource Management,PGGEO404A,Global,"Given India's water challenges, understanding water resource
management is crucial for sustainable development and environmental conservation"
780,MSC (Data Science),Advance Database Technologies,PGDS101,Regional,Advanced databases enable local businesses to efficiently manage and analyze their data.
781,MSC (Data Science),Practical on Advance Database Technologies,PGDSP101,Global,"Local businesses can utilize advanced database technologies for managing customer relationships, inventory, and sales. This improves efficiency and helps in targeted marketing."
782,MSC (Data Science),Descriptive Statistics and Probability,PGDS102,National,"Probability concepts are applied in forecasting demand, estimating sales, and making informed decisions about inventory management Descriptive statistics help regional planners analyze data related to population growth, transportation needs, and urban development"
783,MSC (Data Science),Practical on Descriptive Statistics and Probability,PGDSP102,Local,"Probability models help in predicting and preventing criminal activities, guiding the allocation of police resources effectively."
784,MSC (Data Science),Applied Linear Algebra,PGDS103,National,"National governments use descriptive statistics to monitor economic indicators such as GDP, inflation, and
unemployment rates."
785,MSC (Data Science),Practical on Applied Linear Algebra,PGDSP103,Global,"Applied linear algebra is used for structural analysis, designing foundations, and optimizing layouts. This ensures the safety and efficiency of local construction projects."
786,MSC (Data Science),Advanced Python Programming,PGDS104,Regional,"Linear algebra is fundamental in machine learning algorithms and data science applications. This is applicable across all levels, from local businesses using data analytics to global tech companies developing advanced machine learning
models."
787,MSC (Data Science),Practicals on Advanced Python Programming,PGDSP104,National,"Python is often used as an introductory programming language in local educational institutions. Teaching Python skills at the local level helps individuals acquire valuable
orogramming skills for various career paths."
788,MSC (Data Science),Data Warehousing & Mining,PGDSlOSA,Global,"Python is a leading language for data science and Al. Its  use in machine learning and deep learning applications is common globally, impacting fields such as finance, healthcare, and
technolo ."
789,MSC (Data Science),Practical on Data Warehousing & Mining,PGDSPlOSA,Regional,"Data mining can help in identifying patterns and anomalies, supporting evidence-based policy decisions and resource allocation. Globally, data warehousing can be employed to consolidate data related to international trade, economic indicators, and financial transactions."
790,MSC (Data Science),Data Structure with Python,PGDS1058,Local,"Data mining techniques, when applied to data warehoused from financial transactions or online activities, are effective in detecting patterns indicative of fraudulent behavior."
791,MSC (Data Science),Practicals on Data Structure with Python,PGDSPlOSB,National,"Python's data structures can be applied in local government databases, helping manage information related to public services, permits, and community programs."
792,"MSC (Data
Science)",Research in Computing,PGDS201,Global,"Python's data structures are foundational for data analytics
and machine learning applications."
793,"MSC (Data
Science)",Practical on Research in Computing,PGDSP201,Regional,Research in computing can lead to the development of tools and technologies that empower local small businesses.
794,MSC (Data Science),Optimization Techniques,PGDS202,Local,"Research in edge computing and the Internet of Things (IoT) has practical relevance across all levels. Local communities can benefit from IoT applications for smart homes, while national governments may leverage edge computing for efficient data processing in various sectors."
795,MSC (Data Science),Practical on Optimization Techniques,PGDSP202,National,"Optimization can be used to enhance local transportation systems, such as optimizing bus routes or scheduling services for maximum efficiency, reducing commuting times for local
residents."
796,MSC (Data Science),Statistical Inference,PGDS203,Global,"Optimization techniques are widely used in managing data center operations, ensuring efficient resource utilization, reducing energy consumption, and enhancing the overall performance of information technology infrastructure."
797,MSC (Data Science),Practical on Statistical Inference,PGDSP203,Regional,"It helps in evaluating the effectiveness of programs and making evidence-based policy decisions. Statistical inference supports the analysis of global economic trends, trade
oatterns, and financial markets."
798,MSC (Data Science),"Data Visualization using
R",PGDS204,Local,"Statistical inference is used across all levels in quality control processes, ensuring that products and services meet established standards."
799,MSC (Data Science),Practical on Data Visualization using R,PGDSP204,National,"Organizations and community groups can use R for data
visualization to understand local trends, demographics, and community needs."
800,MSC (Data Science),Big Data Analytics,PGDS205A,Regional,"Data visualization using R is widely used in journalism to communicate complex stories. Journalists at all levels, from local news outlets to global media organizations, use R to
create compelling visual narratives.                g"
801,MSC (Data Science),Practical on Big Data Analytics,PGDSP205A,Local,"Local businesses can leverage big data analytics to
understand customer behavior, enhance marketing strategies, and optimize operations."
802,"MSC (Data
Science)",Analysis of Algorithm,PGDS205B,Global,"Big data analytics is widely used in health informatics for
global epidemiological studies, drug discovery, and personalized medicine."
803,MSC (Data Science),Practical on Analysis of Algorithm,PGDSP205B,Local,"Algorithm analysis is crucial in the development of local applications, from mobile apps to web platforms, ensuring that they are responsive and resource-efficient for the local
user base."
804,"MSC (Data
Science)",Machine Learning,PGDS301,Regional,"Algorithm analysis is integral to data science and machine learning applications. This is relevant across all levels, from local businesses leveraging machine learning for customer insights to global research projects using algorithms for
complex data analvsis."
805,MSC (Data Science),Practical on Machine Learning,PGDSP301,National,"This enhances operational efficiency, improves customer satisfaction, and supports the growth of small enterprises.ML aids in regional planning by analyzing data related to population growth, transportation patterns, and
infrastructure needs."
806,"MSC (Data
Science1",Artificial Intelligence,PGDS302,Global,"ML provides tools for data-driven decision-making,impacting organizations of all sizes."
807,"MSC (Data
Science)",Practical on Artificial Intelligence,PGDSP302,Local,"Local businesses can leverage AI for tasks such as customer service, inventory management, and personalized marketing."
808,MSC (Data Science),Natural Language Processing,PGDS303,Regional,"NLP can be applied to enhance communication between local businesses and customers. Chatbots powered by NLP can provide instant customer support, process inquiries, and facilitate smoother interactions."
809,MSC (Data Science),Practical on Deep Learning,PGDSP401,Global,"NLP applications powered bydeep learning, such as language translation and sentiment analysis, have practical relevance across local, regional, national, and global levels."
810,MSC (Data Science),Internship,PGDS402,Regional,"Internships address a variety of needs at different levels, ranging from local skill development to global talent exchange."
811,MSC (Data Science),Report of Internship,PGDSP402,Local,"They play a crucial role in preparing individuals for the workforce, fostering collaboration between academia and industry, and contributing to economic growth and
innovation on a regional and global scale."
812,MSC (Data Science),Project,PGDS403,National,Local field projects provide opportunities for individuals to develop hands-on skills relevant to the local context
813,MSC (Data Science),Practical on Project,PGDSP403,Regional,"This could include skills in construction, environmental monitoring, community organizing, or other practical skills that contribute to the local workforce and empower individuals to make positive changes in their community."
814,MSC(Data Science),Data Visualization using Tableau,PGDS404,Global,Supports evidence-based decision-making for regional development and infrastructure projects.
815,MSC (Data Science),PGDS404,PGDSP404,National,"Tableau is valuable for visualizing national economic data, including GDP, unemployment rates, and trade statistics."
816,MSC (Data Science),"MOOCs
OR Golang",PGDS405A,Regional,"Go is an  open-source programming language developed at Google in 2007 by Robert Griesemer, Rob Pike, and Ken
Thompson."
817,MSC (Data Science),Practicalon Mooc's,PGDSP405A,Local,"The need for Go arose from the limitations and complexities
of existing programming languages for certain types of projects"
818,MSC (Data Science),Cloud Computing,PGDS405B,National,"Cloud computing provides national infrastructure with the capability for disaster recovery and resilience. Governments can store critical data in the cloud, ensuring its availability even in the event of natural disasters or other emergencies."
